,h3_09,SHAPE
0,8928d590297ffff,"""{\""rings\"":[[[-122.94740574999997,47.024184694000041],[-122.94996652499998,47.02394606200005],[-122.95135935499997,47.02526264800008],[-122.95019141299997,47.02681788700005],[-122.94763055599998,47.027056536000032],[-122.94623772199998,47.025739930000043],[-122.94740574999997,47.024184694000041]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
1,8928d5902b3ffff,"""{\""rings\"":[[[-122.95158429099996,47.02813440500006],[-122.95414510799998,47.027895665000074],[-122.95553803199999,47.029212095000048],[-122.95437014199996,47.030767284000035],[-122.95180924199997,47.031006042000058],[-122.95041631599997,47.029689592000068],[-122.95158429099996,47.02813440500006]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
2,8928d591533ffff,"""{\""rings\"":[[[-122.92062630199996,47.028123088000029],[-122.92318768799998,47.027885016000027],[-122.92458039499996,47.029201945000068],[-122.92341171899994,47.030756967000059],[-122.92085024999994,47.030995056000052],[-122.91945753999994,47.029678107000052],[-122.92062630199996,47.028123088000029]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
3,8928d5916afffff,"""{\""rings\"":[[[-122.87055727599994,47.031318454000029],[-122.87311967699998,47.031081448000066],[-122.87451208499999,47.032399112000064],[-122.87334209499994,47.033953802000042],[-122.87077961199998,47.034190825000053],[-122.869387201,47.032873141000039],[-122.87055727599994,47.031318454000029]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
4,8928d591433ffff,"""{\""rings\"":[[[-122.89294779499994,47.020566091000035],[-122.89550946199995,47.020328650000067],[-122.89690185199998,47.021646197000052],[-122.89573257699999,47.023201205000078],[-122.893170828,47.023438663000036],[-122.89177843499999,47.022121097000081],[-122.89294779499994,47.020566091000035]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
5,8928d5911b7ffff,"""{\""rings\"":[[[-122.92943142399997,47.041767091000054],[-122.93199305899998,47.041528768000035],[-122.93338605099996,47.042845247000059],[-122.93221741199994,47.044400068000073],[-122.92965569399996,47.044638408000026],[-122.92826269899996,47.043321910000031],[-122.92943142399997,47.041767091000054]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
6,8928d59a537ffff,"""{\""rings\"":[[[-122.84464553499998,47.046729298000059],[-122.84720887399999,47.046492783000076],[-122.84860135099996,47.047810516000027],[-122.84743049199994,47.049364783000044],[-122.84486707099995,47.049601316000064],[-122.84347459099996,47.048283563000041],[-122.84464553499998,47.046729298000059]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
7,8928d593257ffff,"""{\""rings\"":[[[-122.87579687999994,46.99900387100007],[-122.87835821199997,46.998766896000063],[-122.87975012899994,47.000085207000041],[-122.87858071499994,47.001640513000041],[-122.87601929999994,47.001877505000039],[-122.87462738099998,47.000559175000035],[-122.87579687999994,46.99900387100007]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
8,8928d5918cbffff,"""{\""rings\"":[[[-122.93167479099998,47.070474881000052],[-122.93423724899998,47.070236381000029],[-122.93563072699999,47.071552174000033],[-122.93446174999997,47.07310648400005],[-122.93189920899999,47.073345001000064],[-122.93050572799996,47.07202919000008],[-122.93167479099998,47.070474881000052]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
9,8928d59164fffff,"""{\""rings\"":[[[-122.84771482999997,47.036321593000025],[-122.85027779999996,47.036085058000026],[-122.85167012799997,47.037402977000056],[-122.85049949099999,47.038957451000044],[-122.84793643899997,47.039194003000034],[-122.84654410699994,47.037876065000034],[-122.84771482999997,47.036321593000025]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
10,8928d5913d3ffff,"""{\""rings\"":[[[-122.87980270399999,47.050710994000042],[-122.88236551999995,47.050473702000033],[-122.88375830999996,47.051790779000044],[-122.88258828799997,47.053345166000042],[-122.88002538999996,47.053582475000042],[-122.87863259599999,47.052265380000051],[-122.87980270399999,47.050710994000042]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
11,8928d591e93ffff,"""{\""rings\"":[[[-122.91891105899998,47.05575921600007],[-122.92147330899996,47.055521058000068],[-122.92286645599995,47.056837389000066],[-122.92169735699997,47.058391898000082],[-122.91913502499995,47.058630074000064],[-122.91774187399994,47.05731372300005],[-122.91891105899998,47.05575921600007]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
12,8928d591c17ffff,"""{\""rings\"":[[[-122.94569956499998,47.051820469000063],[-122.94826120299996,47.051581751000072],[-122.94965447299995,47.052897739000059],[-122.94848610899999,47.054452466000043],[-122.94592438799998,47.054691202000072],[-122.94453111399997,47.053375194000068],[-122.94569956499998,47.051820469000063]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
13,8928d5914a3ffff,"""{\""rings\"":[[[-122.89645556899995,47.015900866000038],[-122.89901703099997,47.015663370000027],[-122.90040936899999,47.016980966000062],[-122.89924024799996,47.018536078000068],[-122.89667870299996,47.018773592000059],[-122.89528636199998,47.017455976000065],[-122.89645556899995,47.015900866000038]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
14,8928d591eafffff,"""{\""rings\"":[[[-122.92749458699996,47.06652708200005],[-122.93005700299994,47.066288691000068],[-122.93145038699998,47.06760464000007],[-122.93028135799995,47.06915900000007],[-122.92771885899998,47.069397409000032],[-122.92632547199997,47.068081440000071],[-122.92749458699996,47.06652708200005]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
15,8928d591c33ffff,"""{\""rings\"":[[[-122.94987942799997,47.055768386000068],[-122.95244110799996,47.055529560000025],[-122.95383447199998,47.056845391000081],[-122.95266615899999,47.058400069000072],[-122.95010439699996,47.058638913000038],[-122.94871102899998,47.05732306200008],[-122.94987942799997,47.055768386000068]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
16,8928d591243ffff,"""{\""rings\"":[[[-122.84904469999998,47.053554259000066],[-122.85160816399997,47.05331761900004],[-122.85300078399996,47.05463512700004],[-122.85182994299998,47.056189294000035],[-122.84926639599996,47.056425952000041],[-122.84787377299995,47.055108425000071],[-122.84904469999998,47.053554259000066]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
17,8928f364b83ffff,"""{\""rings\"":[[[-122.83452198599997,47.015837845000078],[-122.83708458099994,47.015601686000025],[-122.83847648099999,47.016920281000068],[-122.83730579099995,47.018475055000067],[-122.83474311399999,47.018711231000054],[-122.83335121099998,47.017392617000041],[-122.83452198599997,47.015837845000078]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
18,8928f364907ffff,"""{\""rings\"":[[[-122.86131554299999,47.011918824000077],[-122.86387752999997,47.011682104000045],[-122.86526955499994,47.013000357000067],[-122.86409959699995,47.014555349000034],[-122.86153752899997,47.014792086000057],[-122.86014549999999,47.013473814000065],[-122.86131554299999,47.011918824000077]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
19,8928d59026fffff,"""{\""rings\"":[[[-122.93734068399999,47.043923224000025],[-122.93990223799995,47.043684721000034],[-122.94129532099998,47.045001023000054],[-122.94012685199999,47.046555848000025],[-122.93756521499995,47.046794369000054],[-122.93617212899994,47.045478047000074],[-122.93734068399999,47.043923224000025]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
20,8928d591c4fffff,"""{\""rings\"":[[[-122.93077726599995,47.058993201000078],[-122.93333939499996,47.058754772000043],[-122.93473267899998,47.060070839000048],[-122.93356383599996,47.061625354000057],[-122.93100162499996,47.061863800000026],[-122.92960833799998,47.060547714000052],[-122.93077726599995,47.058993201000078]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
21,8928d59a50fffff,"""{\""rings\"":[[[-122.83299926399997,47.046356849000063],[-122.835562805,47.046120588000065],[-122.83695519399998,47.047438516000057],[-122.83578404499997,47.048992727000041],[-122.83322042099996,47.049229006000076],[-122.83182802999994,47.047911057000078],[-122.83299926399997,47.046356849000063]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
22,8928d59127bffff,"""{\""rings\"":[[[-122.85322261199997,47.057506733000025],[-122.85578611899996,47.057269985000062],[-122.85717883299998,47.058587335000027],[-122.85600804299997,47.060141454000075],[-122.85344445399994,47.060378219000029],[-122.85205173599996,47.059060849000048],[-122.85322261199997,47.057506733000025]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
23,8928d59a52bffff,"""{\""rings\"":[[[-122.83717648199996,47.05031058700007],[-122.83974006599999,47.050074217000031],[-122.84113254899995,47.051391989000081],[-122.83996145099997,47.052946151000071],[-122.83739778499995,47.053182537000055],[-122.83600529899996,47.051864746000035],[-122.83717648199996,47.05031058700007]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
24,8928f364bbbffff,"""{\""rings\"":[[[-122.83869773999999,47.019793582000034],[-122.84126037599998,47.019557315000043],[-122.84265237099999,47.020875754000031],[-122.84148173199998,47.022430478000047],[-122.83891901299995,47.022666762000028],[-122.83752701499998,47.021348304000071],[-122.83869773999999,47.019793582000034]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
25,8928d591c87ffff,"""{\""rings\"":[[[-122.94920460999998,47.047156087000076],[-122.95176604299996,47.046917314000041],[-122.95315926199999,47.048233351000079],[-122.95199104999995,47.049788182000043],[-122.94942953399999,47.050026973000058],[-122.94803631199994,47.048710916000061],[-122.94920460999998,47.047156087000076]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
26,8928d591513ffff,"""{\""rings\"":[[[-122.91249445799997,47.023092577000057],[-122.91505584299995,47.022854703000064],[-122.91644840999999,47.024171877000072],[-122.91527959699999,47.025726946000077],[-122.91271813099996,47.02596483700006],[-122.91132555999997,47.024647643000037],[-122.91249445799997,47.023092577000057]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
27,8928d591297ffff,"""{\""rings\"":[[[-122.86749137899994,47.04172673100004],[-122.87005414999999,47.041489745000035],[-122.87144670599997,47.042807223000068],[-122.87027649499998,47.044361706000075],[-122.86771364199996,47.044598710000059],[-122.86632108299995,47.043281212000068],[-122.86749137899994,47.04172673100004]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
28,8928d59101bffff,"""{\""rings\"":[[[-122.88264444799995,47.037432008000053],[-122.88520681099999,47.037194714000066],[-122.88659940399998,47.038512045000061],[-122.88542963599997,47.04006669000006],[-122.88286719099995,47.040304001000038],[-122.88147459499999,47.038986650000027],[-122.88264444799995,47.037432008000053]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
29,8928d59a547ffff,"""{\""rings\"":[[[-122.82530831799994,47.047065308000072],[-122.82787202099996,47.046829209000066],[-122.82926436699995,47.048147246000042],[-122.82809301299994,47.04970140100005],[-122.82552922799999,47.049937517000046],[-122.82413687899998,47.048619461000044],[-122.82530831799994,47.047065308000072]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
30,8928f36495bffff,"""{\""rings\"":[[[-122.84198824699996,47.012255752000044],[-122.84455059699997,47.012019448000046],[-122.84594249199995,47.013338004000047],[-122.84477203899996,47.014892884000062],[-122.84220960699997,47.01512920600004],[-122.84081770899996,47.01381063000008],[-122.84198824699996,47.012255752000044]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
31,8928d591ca3ffff,"""{\""rings\"":[[[-122.95338431699997,47.051104151000061],[-122.95594579199997,47.050865270000031],[-122.95733910499996,47.05218115100007],[-122.95617094499994,47.053735932000052],[-122.95360938699997,47.053974831000062],[-122.95221607199994,47.052658931000053],[-122.95338431699997,47.051104151000061]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
32,8928d59152fffff,"""{\""rings\"":[[[-122.92107421399999,47.033866905000025],[-122.92363576499997,47.033628798000052],[-122.92502856899995,47.034945590000063],[-122.92385982599995,47.036500509000064],[-122.92129819199999,47.036738634000073],[-122.91990538499999,47.035421822000046],[-122.92107421399999,47.033866905000025]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
33,8928d59a197ffff,"""{\""rings\"":[[[-122.84135398299998,47.054263854000055],[-122.84391760899996,47.054027377000068],[-122.84531018699994,47.055344992000073],[-122.84413914099997,47.056899104000081],[-122.84157543199996,47.057135599000048],[-122.84018285199994,47.055817964000028],[-122.84135398299998,47.054263854000055]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
